species,treatment,prefs
s,empty,-0.333333333
s,empty,0.142857143
s,empty,0.333333333
s,empty,0.230769231
s,empty,0.647058824
s,empty,0.230769231
s,empty,0.333333333
s,empty,0
s,empty,-0.636363636
s,empty,0.5
s,positive,0.6
s,positive,0.6
s,positive,0.538461538
s,positive,0.272727273
s,positive,0.714285714
s,positive,0.5
s,positive,-0.692307692
s,positive,0.230769231
s,positive,-0.076923077
s,positive,0.076923077
s,svu,0.2
s,svu,0.2
s,svu,0.142857143
s,svu,-0.5
s,svu,0.285714286
s,svu,0
s,svu,0
s,svu,-0.142857143
s,svu,-0.272727273
s,evs,0.571428571
s,evs,0.333333333
s,evs,0.2
s,evs,0.333333333
s,evs,0.2
s,evs,-0.076923077
s,evs,0.5
s,evs,0.4
s,evs,0.333333333
s,evs,0.333333333
s,evs,0.272727273
s,evs,0
s,evu,0.4
s,evu,0.2
s,evu,0.6
s,evu,0.2
s,evu,0.636363636
s,evu,0.090909091
s,evu,0.5
s,evu,0
s,evu,0.090909091
e,empty,0.076923077
e,empty,-0.272727273
e,empty,-0.2
e,empty,-0.090909091
e,empty,0.076923077
e,empty,-0.066666667
e,empty,0.285714286
e,empty,0.166666667
e,empty,-0.2
e,empty,0.090909091
e,empty,0.076923077
e,positive,0.4
e,positive,-0.538461538
e,positive,-0.142857143
e,positive,-0.428571429
e,positive,0.8
e,positive,0.2
e,positive,0.333333333
e,positive,-0.538461538
e,positive,0.4
e,positive,0.333333333
e,positive,0.333333333
e,positive,-0.166666667
e,positive,0.4
e,svu,0.285714286
e,svu,0.538461538
e,svu,-0.166666667
e,svu,-0.466666667
e,svu,0.4
e,svu,0.6
e,svu,0.384615385
e,svu,0.2
e,svu,0.5
e,svu,0.4
e,evs,0.066666667
e,evs,0.166666667
e,evs,-0.692307692
e,evs,0.333333333
e,evs,0.428571429
e,evs,-0.6
e,evs,0.230769231
e,evs,-0.285714286
e,evs,-0.428571429
e,evs,0.285714286
e,evu,0.2
e,evu,-0.5
e,evu,-0.066666667
e,evu,0.428571429
e,evu,0.142857143
e,evu,-0.066666667
e,evu,0.285714286
e,evu,0.538461538
e,evu,0.333333333
e,evu,0.142857143
e,evu,0
e,evu,0.384615385
e,evu,-0.066666667
